sampleid,variety,treatment,color,sugar,weight,firmness
1C,C,C,147.5555556,15,0.322222222,11.42
1D,D,C,154,11.5,0.216666667,17.331
1E,E,C,151.7777778,12,0.193333333,14.565
1J,J,C,142.3333333,14,0.258888889,14.244
2C,C,C,142.5555556,14,0.252222222,13.477
2D,D,C,157.1111111,11.5,0.205555556,17.314
2E,E,C,156.3333333,12.5,0.182222222,15.438
2J,J,C,136.1111111,13,0.24,14.803
3C,C,C,149.8888889,14,0.231111111,14.593
3D,D,C,155.8888889,12,0.19,16.626
3E,E,C,156.5555556,13,0.153333333,16.114
3J,J,C,143.1111111,12.5,0.241,15.149
4C,C,C,,,,
4D,D,C,158.5,13,0.2275,15.504
4E,E,C,157.625,13.5,0.165,15.594
4J,J,C,139.3333333,13.5,0.253333333,15.072
5C,C,C,147.3333333,14,0.224444444,11.794
5D,D,C,150.6666667,12,0.245555556,16.149
5E,E,C,156.125,12,0.137777778,16.102
5J,J,C,139.4444444,14,0.168888889,16.337
6C,C,PDJ,154.4444444,14,0.258888889,10.011
6D,D,PDJ,158,11.5,0.205555556,17.456
6E,E,PDJ,154.7777778,13,0.17,14.978
6J,J,PDJ,144.1111111,12.5,0.212222222,14.583
7C,C,PDJ,155.1111111,14.5,0.271111111,9.875
7D,D,PDJ,157.4444444,12,0.21,17.372
7E,E,PDJ,153.4444444,12,0.144444444,15.878
7J,J,PDJ,136.7777778,13,0.222222222,14.596
8C,C,PDJ,152.3,15,0.249,9.527
8D,D,PDJ,156.6666667,12.5,0.24,16.523
8E,E,PDJ,154.1111111,13,0.143333333,17.086
8J,J,PDJ,140,13.5,0.222222222,15.437
9C,C,PDJ,145.1111111,14,0.281111111,14.183
9D,D,PDJ,155.8888889,11,0.177777778,16.659
9E,E,PDJ,149.5555556,12,0.111111111,16.663
9J,J,PDJ,142,12.5,0.201111111,15.337
10C,C,PDJ,149.1111111,14,0.25,9.625
10D,D,PDJ,155.5555556,11,0.154444444,17.807
10E,E,PDJ,154.3333333,12.5,0.133333333,16.666
10J,J,PDJ,145.2222222,13,0.204444444,15.255
